,id,alias,name,is_closed,review_cou,rating,price,categories,latitude,longitude,address,city,zipcode,state,country,index_right,NTACode,NTAName,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k,MeanLifeExp
8654,tVg9doZ6-5PttPgxaOx1uw,vietspot-tribeca-new-york-3,Vietspot Tribeca,0,38,3.5,$$,"vietnamese,sandwiches,noodles",40.716473,-74.00699499999999,200 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8655,2R1KAjhs0bpWqLTcB5QOWg,cafe-clementine-new-york,Cafe Clementine,0,144,3.5,$$,"delis,cafes",40.7191752,-74.00613440000001,227 W Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8656,INCG3bXCP3ygjHqPkfbo7w,tribeca-taco-truck-manhattan-2,Tribeca Taco Truck,0,1,5.0,$,tacos,40.71639936,-74.00444046,333 Broadway,Manhattan,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8658,B1FK_po7uwvJG5xbZj6n3g,ilili-box-new-york-5,ilili Box,0,21,3.0,MISSING,mediterranean,40.71897,-74.00102,265 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8659,PARuXFvHeGKx0LNZxq3y-Q,the-poffertjes-man-new-york,The Poffertjes Man,0,2,3.5,MISSING,foodstands,40.714240000000004,-74.00641999999999,Greeley Square,New York,10001,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8660,c3yoz4TV_JHF6Gq1j64_uw,popeyes-louisiana-kitchen-new-york-15,Popeyes Louisiana Kitchen,0,36,2.5,$,"hotdogs,chicken_wings",40.718106799999994,-74.0010691,96 Walker St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8661,EsYmapR5ONZEwxuLvyI1-g,vivi-bubble-tea-new-york-31,Vivi Bubble Tea,0,34,4.0,$,"bubbletea,taiwanese",40.71611329,-74.00486062,325 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8662,jsjJxd8NzEnl19VM94bbGw,blue-spoon-coffee-new-york,Blue Spoon Coffee,0,184,4.0,$,"coffee,sandwiches",40.71431749,-74.0067286,76 Chambers St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8664,3bTbddYb6VFUktBekbxQGA,civic-deli-new-york,Civic Deli,0,57,3.5,$,"delis,salad,breakfast_brunch",40.71584232,-74.00347777,111 Worth St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8666,j5Me3YSKfaYHoLu_74SMjA,pret-a-manger-new-york-64,Pret A Manger,0,31,4.0,$,"sandwiches,coffee,breakfast_brunch",40.715924,-74.005122,319 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8667,S3dtt6qNyYfdF-I4rZTbXw,graffitti-earth-new-york,Graffitti Earth,0,21,3.5,$$,"indpak,persian,vegetarian",40.71593789999999,-74.0071884,190 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8668,vS5WZNErrgWvHtiO3CTmqA,sheezan-restaurant-new-york-3,Sheezan Restaurant,0,30,3.5,$,"indpak,pakistani,halal",40.71566,-74.00717,183 Church St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8669,4VNDmn8kwTStD5nosexK7Q,bobby-flay-new-york,Bobby Flay,0,2,3.0,MISSING,restaurants,40.71343536,-74.0045929,Food Network,New York,10079,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8670,A7T3GYUnupQrPQdeTVzfIA,the-mill-new-york-4,The Mill,0,49,3.0,$$,"salad,tradamerican,sandwiches",40.72332787,-74.00643277,75 Varick St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8671,UhloN83oE-1b5MYWXFaMuA,wichcraft-east-tribeca-new-york,'Wichcraft - East Tribeca,0,51,3.0,$$,"sandwiches,salad,breakfast_brunch",40.716229999999996,-74.00497,325 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8675,YV0VaJgV2zotzI7XNUaMCQ,mcdonalds-new-york-100,McDonald's,0,71,2.5,$,"hotdogs,burgers,coffee",40.71852,-74.00115,262 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8676,JlpVZdT1V-Pd5y3LH0xBPg,dragon-palace-new-york,Dragon Palace,0,3,3.5,$$,chinese,40.718769,-73.99897,202 Centre St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8679,8ptALjl9MeDONKbBgY6yzQ,potbelly-sandwich-shop-new-york-6,Potbelly Sandwich Shop,0,48,3.0,$,"sandwiches,hotdogs,salad",40.71448,-74.005842,280 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
