,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
34,36047006000,7,13,4,0,2,"Census Tract 60, Kings County, New York",958,0.193,0.09300000000000001,0.158,0.127,0.081,0.11800000000000001,0.23,184.894,89.09400000000001,151.364,121.666,77.598,113.04400000000001,220.34
35,36047006200,6,13,1,0,3,"Census Tract 62, Kings County, New York",1149,0.122,0.271,0.152,0.139,0.092,0.049,0.175,140.178,311.379,174.648,159.711,105.708,56.301,201.075
36,36047006300,2,2,0,0,0,"Census Tract 63, Kings County, New York",881,0.066,0.134,0.12,0.078,0.154,0.098,0.35,58.146,118.054,105.72,68.718,135.674,86.33800000000001,308.34999999999997
37,36047006400,3,12,0,0,4,"Census Tract 64, Kings County, New York",1361,0.214,0.159,0.162,0.163,0.048,0.096,0.159,291.254,216.399,220.482,221.84300000000002,65.328,130.656,216.399
38,36047006500,2,12,0,1,4,"Census Tract 65, Kings County, New York",2423,0.08800000000000001,0.067,0.075,0.10099999999999999,0.09300000000000001,0.033,0.544,213.22400000000002,162.341,181.725,244.72299999999998,225.33900000000003,79.959,1318.112
39,36047006600,4,16,0,0,6,"Census Tract 66, Kings County, New York",1478,0.13699999999999998,0.22,0.27399999999999997,0.068,0.09,0.07,0.141,202.48599999999996,325.16,404.9719999999999,100.504,133.01999999999998,103.46000000000001,208.39799999999997
40,36047006700,4,4,0,0,1,"Census Tract 67, Kings County, New York",1557,0.059000000000000004,0.076,0.147,0.051,0.064,0.071,0.532,91.863,118.332,228.879,79.407,99.648,110.547,828.3240000000001
41,36047006800,9,17,0,0,10,"Census Tract 68, Kings County, New York",1775,0.265,0.245,0.205,0.078,0.09300000000000001,0.046,0.068,470.375,434.875,363.875,138.45,165.07500000000002,81.65,120.7
42,36047006900,4,19,0,0,4,"Census Tract 69, Kings County, New York",1686,0.08800000000000001,0.04,0.126,0.12,0.09,0.11599999999999999,0.42,148.36800000000002,67.44,212.436,202.32,151.73999999999998,195.576,708.12
43,36047007100,0,0,0,0,1,"Census Tract 71, Kings County, New York",1755,0.36200000000000004,0.222,0.114,0.10099999999999999,0.04,0.036000000000000004,0.124,635.3100000000001,389.61,200.07,177.255,70.2,63.18000000000001,217.62
44,36047007200,2,0,0,0,2,"Census Tract 72, Kings County, New York",596,0.384,0.297,0.168,0.064,0.05,0.037000000000000005,0.0,228.864,177.012,100.128,38.144,29.8,22.052000000000003,0.0
