ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047017000,"Census Tract 170, Kings County, New York",1157,260,176,194,167,151,79,130
36047017100,"Census Tract 171, Kings County, New York",1586,117,193,196,161,192,175,552
36047017200,"Census Tract 172, Kings County, New York",1073,82,321,224,80,109,85,172
36047017400,"Census Tract 174, Kings County, New York",699,108,88,76,76,94,85,172
36047017500,"Census Tract 175, Kings County, New York",0,0,0,0,0,0,0,0
36047017600,"Census Tract 176, Kings County, New York",873,184,202,168,120,105,32,62
36047017700,"Census Tract 177, Kings County, New York",0,0,0,0,0,0,0,0
36047017800,"Census Tract 178, Kings County, New York",883,193,184,184,135,100,50,37
36047017900,"Census Tract 179, Kings County, New York",1581,496,280,174,174,139,94,224
36047018000,"Census Tract 180, Kings County, New York",992,194,237,71,153,119,81,137
36047018100,"Census Tract 181, Kings County, New York",1912,169,224,287,456,241,70,465
36047018200,"Census Tract 182, Kings County, New York",1148,331,190,210,179,117,15,106
36047018300,"Census Tract 183, Kings County, New York",1268,77,164,191,154,209,124,349
36047018400,"Census Tract 184, Kings County, New York",893,121,143,148,117,94,99,171
36047018501,"Census Tract 185.01, Kings County, New York",1772,922,395,214,117,0,64,60
36047018600,"Census Tract 186, Kings County, New York",690,113,172,114,54,69,65,103
36047018700,"Census Tract 187, Kings County, New York",634,169,92,69,36,75,34,159
36047018800,"Census Tract 188, Kings County, New York",945,145,196,193,113,110,77,111
36047019000,"Census Tract 190, Kings County, New York",1483,408,444,240,144,102,20,125
36047019100,"Census Tract 191, Kings County, New York",1045,191,129,113,175,73,59,305
36047019200,"Census Tract 192, Kings County, New York",865,191,333,82,104,36,53,66
36047019300,"Census Tract 193, Kings County, New York",2221,500,450,463,285,220,138,165
36047019400,"Census Tract 194, Kings County, New York",1148,376,216,188,157,93,17,101
36047019500,"Census Tract 195, Kings County, New York",1839,251,323,325,271,265,126,278
36047019600,"Census Tract 196, Kings County, New York",1462,481,410,238,156,102,22,53
36047019700,"Census Tract 197, Kings County, New York",1717,354,156,273,175,100,105,554
36047019800,"Census Tract 198, Kings County, New York",628,135,114,137,68,36,14,124
36047019900,"Census Tract 199, Kings County, New York",1578,216,190,233,227,183,125,404
36047020000,"Census Tract 200, Kings County, New York",764,179,144,136,106,62,35,102
36047020100,"Census Tract 201, Kings County, New York",1660,166,168,207,341,199,136,443
36047020200,"Census Tract 202, Kings County, New York",671,112,64,114,50,141,81,109
36047020300,"Census Tract 203, Kings County, New York",666,88,77,68,61,113,57,202
36047020400,"Census Tract 204, Kings County, New York",667,97,114,111,79,80,56,130
36047020500,"Census Tract 205, Kings County, New York",1359,163,199,210,189,147,189,262
36047020600,"Census Tract 206, Kings County, New York",828,108,131,154,117,115,72,131
36047020700,"Census Tract 207, Kings County, New York",2179,255,338,130,241,241,274,700
36047020800,"Census Tract 208, Kings County, New York",977,235,213,266,101,49,42,71
36047021000,"Census Tract 210, Kings County, New York",1391,485,307,223,78,129,49,120
36047021100,"Census Tract 211, Kings County, New York",735,158,147,194,81,46,12,97
36047021200,"Census Tract 212, Kings County, New York",1427,441,351,307,71,78,98,81
36047021300,"Census Tract 213, Kings County, New York",1949,625,440,282,171,164,108,159
36047021400,"Census Tract 214, Kings County, New York",534,150,97,120,40,66,19,42
36047021500,"Census Tract 215, Kings County, New York",2452,552,446,296,206,153,136,663
36047021600,"Census Tract 216, Kings County, New York",942,141,400,49,81,140,25,106
36047021700,"Census Tract 217, Kings County, New York",1675,442,264,316,148,211,86,208
36047021800,"Census Tract 218, Kings County, New York",935,402,167,148,41,61,35,81
36047021900,"Census Tract 219, Kings County, New York",1526,370,262,269,202,93,120,210
36047022000,"Census Tract 220, Kings County, New York",1295,533,372,163,158,35,11,23
36047022100,"Census Tract 221, Kings County, New York",1641,346,466,241,151,61,78,298
36047022200,"Census Tract 222, Kings County, New York",1122,440,323,188,86,14,7,64
36047022400,"Census Tract 224, Kings County, New York",1265,351,409,150,92,100,86,77
36047022600,"Census Tract 226, Kings County, New York",579,155,146,114,97,25,38,4
36047022700,"Census Tract 227, Kings County, New York",1493,223,336,159,287,191,60,237
36047022800,"Census Tract 228, Kings County, New York",860,294,272,98,66,26,17,87
36047022900,"Census Tract 229, Kings County, New York",1809,396,281,311,206,184,129,302
36047023000,"Census Tract 230, Kings County, New York",949,317,233,136,63,86,20,94
36047023100,"Census Tract 231, Kings County, New York",1501,278,253,240,190,117,105,318
36047023200,"Census Tract 232, Kings County, New York",1267,500,351,121,115,127,23,30
36047023300,"Census Tract 233, Kings County, New York",2058,700,483,284,144,109,55,283
36047023400,"Census Tract 234, Kings County, New York",1231,549,249,177,119,45,7,85
36047023500,"Census Tract 235, Kings County, New York",1349,368,281,186,156,112,102,144
36047023600,"Census Tract 236, Kings County, New York",1538,783,338,237,71,54,19,36
36047023800,"Census Tract 238, Kings County, New York",1244,566,297,69,97,87,34,94
36047024000,"Census Tract 240, Kings County, New York",1292,520,371,137,86,27,31,120
36047024100,"Census Tract 241, Kings County, New York",983,283,93,216,67,96,91,137
36047024200,"Census Tract 242, Kings County, New York",760,184,143,131,89,45,14,154
36047024300,"Census Tract 243, Kings County, New York",1611,482,258,219,160,152,76,264
36047024400,"Census Tract 244, Kings County, New York",968,288,173,134,141,48,25,159
36047024500,"Census Tract 245, Kings County, New York",1714,255,378,321,323,111,110,216
36047024600,"Census Tract 246, Kings County, New York",919,272,213,127,77,55,62,113
36047024700,"Census Tract 247, Kings County, New York",978,336,171,181,137,57,14,82
36047024800,"Census Tract 248, Kings County, New York",865,240,186,140,104,62,76,57
36047024900,"Census Tract 249, Kings County, New York",1848,328,368,377,251,163,59,302
36047025000,"Census Tract 250, Kings County, New York",503,116,110,121,45,13,54,44
36047025100,"Census Tract 251, Kings County, New York",1425,609,306,187,148,47,50,78
36047025200,"Census Tract 252, Kings County, New York",1917,505,494,257,314,170,79,98
36047025300,"Census Tract 253, Kings County, New York",1209,360,225,185,91,38,113,197
36047025400,"Census Tract 254, Kings County, New York",1209,417,225,137,155,55,73,147
36047025500,"Census Tract 255, Kings County, New York",1853,1094,548,176,12,8,6,9
36047025600,"Census Tract 256, Kings County, New York",929,234,236,202,76,74,24,83
36047025700,"Census Tract 257, Kings County, New York",647,219,36,129,124,46,37,56
36047025800,"Census Tract 258, Kings County, New York",1534,534,298,301,132,70,60,139
36047025901,"Census Tract 259.01, Kings County, New York",714,209,115,139,37,50,64,100
36047025902,"Census Tract 259.02, Kings County, New York",1175,815,268,66,0,0,0,26
36047026000,"Census Tract 260, Kings County, New York",1114,283,296,178,161,44,44,108
36047026100,"Census Tract 261, Kings County, New York",2103,740,453,275,254,113,116,152
36047026200,"Census Tract 262, Kings County, New York",796,173,234,121,55,70,33,110
36047026300,"Census Tract 263, Kings County, New York",829,355,154,112,53,64,30,61
36047026400,"Census Tract 264, Kings County, New York",1601,299,598,186,200,112,77,129
36047026500,"Census Tract 265, Kings County, New York",1461,456,155,224,112,127,99,288
36047026600,"Census Tract 266, Kings County, New York",1060,260,342,101,153,91,20,93
36047026700,"Census Tract 267, Kings County, New York",1772,517,357,223,148,161,99,267
36047026800,"Census Tract 268, Kings County, New York",1289,366,285,216,177,69,90,86
36047026900,"Census Tract 269, Kings County, New York",1225,383,143,184,122,111,75,207
36047027000,"Census Tract 270, Kings County, New York",896,237,115,181,96,109,46,112
36047027100,"Census Tract 271, Kings County, New York",1130,331,315,142,37,77,95,133
36047027200,"Census Tract 272, Kings County, New York",1149,251,308,160,162,76,48,144
36047027300,"Census Tract 273, Kings County, New York",1276,406,278,182,170,100,61,79
36047027400,"Census Tract 274, Kings County, New York",998,232,267,109,118,70,19,183
36047027500,"Census Tract 275, Kings County, New York",1666,339,197,313,157,179,69,412
36047027600,"Census Tract 276, Kings County, New York",1196,279,258,177,236,2,65,179
36047027700,"Census Tract 277, Kings County, New York",1685,574,486,219,120,93,93,100
36047027800,"Census Tract 278, Kings County, New York",1178,263,214,243,126,57,120,155
36047027900,"Census Tract 279, Kings County, New York",1490,375,163,318,199,209,120,106
36047028000,"Census Tract 280, Kings County, New York",620,144,110,113,69,70,22,92
36047028100,"Census Tract 281, Kings County, New York",1784,786,425,202,205,56,32,78
36047028200,"Census Tract 282, Kings County, New York",1243,299,224,234,164,105,47,170
36047028300,"Census Tract 283, Kings County, New York",1380,526,344,208,143,62,71,26
36047028400,"Census Tract 284, Kings County, New York",1296,331,333,221,151,71,102,87
36047028501,"Census Tract 285.01, Kings County, New York",116,0,24,4,54,6,0,28
36047028502,"Census Tract 285.02, Kings County, New York",1184,794,158,145,60,0,0,27
36047028600,"Census Tract 286, Kings County, New York",2021,801,324,423,224,55,65,129
36047028700,"Census Tract 287, Kings County, New York",1180,490,283,112,93,93,27,82
36047028800,"Census Tract 288, Kings County, New York",1177,324,323,33,178,79,49,191
36047028900,"Census Tract 289, Kings County, New York",1337,410,258,216,212,90,67,84
36047029000,"Census Tract 290, Kings County, New York",1580,288,511,288,138,104,103,148
36047029100,"Census Tract 291, Kings County, New York",1111,340,276,91,152,40,73,139
36047029200,"Census Tract 292, Kings County, New York",950,263,262,103,89,91,38,104
36047029300,"Census Tract 293, Kings County, New York",1349,442,324,131,160,87,75,130
36047029400,"Census Tract 294, Kings County, New York",620,166,138,115,46,106,3,46
36047029500,"Census Tract 295, Kings County, New York",1622,392,330,175,166,140,129,290
36047029600,"Census Tract 296, Kings County, New York",2013,451,542,273,266,165,0,316
36047029700,"Census Tract 297, Kings County, New York",1632,390,305,254,146,172,61,304
36047029800,"Census Tract 298, Kings County, New York",1326,238,289,290,87,133,112,177
36047029900,"Census Tract 299, Kings County, New York",915,377,252,67,96,76,21,26
36047030000,"Census Tract 300, Kings County, New York",1312,365,288,172,149,96,80,162
36047030100,"Census Tract 301, Kings County, New York",1035,341,201,146,116,30,92,109
36047030200,"Census Tract 302, Kings County, New York",1553,275,451,192,228,139,113,155
36047030300,"Census Tract 303, Kings County, New York",1768,770,408,211,208,38,31,102
36047030400,"Census Tract 304, Kings County, New York",1572,477,402,263,136,124,71,99
36047030500,"Census Tract 305, Kings County, New York",2813,588,411,492,459,237,297,329
36047030600,"Census Tract 306, Kings County, New York",626,182,168,34,87,41,57,57
