ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047016600,"Census Tract 166, Kings County, New York",651,0.095,0.180,0.135,0.081,0.124,0.061,0.323
36047016700,"Census Tract 167, Kings County, New York",2132,0.037,0.081,0.046,0.135,0.117,0.092,0.492
36047016800,"Census Tract 168, Kings County, New York",693,0.206,0.173,0.111,0.137,0.095,0.079,0.198
36047016900,"Census Tract 169, Kings County, New York",2177,0.224,0.077,0.145,0.116,0.145,0.090,0.203
36047017000,"Census Tract 170, Kings County, New York",1157,0.225,0.152,0.168,0.144,0.131,0.068,0.112
36047017100,"Census Tract 171, Kings County, New York",1586,0.074,0.122,0.124,0.102,0.121,0.110,0.348
36047017200,"Census Tract 172, Kings County, New York",1073,0.076,0.299,0.209,0.075,0.102,0.079,0.160
36047017400,"Census Tract 174, Kings County, New York",699,0.155,0.126,0.109,0.109,0.134,0.122,0.246
36047017500,"Census Tract 175, Kings County, New York",0,,,,,,,
36047017600,"Census Tract 176, Kings County, New York",873,0.211,0.231,0.192,0.137,0.120,0.037,0.071
36047017700,"Census Tract 177, Kings County, New York",0,,,,,,,
36047017800,"Census Tract 178, Kings County, New York",883,0.219,0.208,0.208,0.153,0.113,0.057,0.042
36047017900,"Census Tract 179, Kings County, New York",1581,0.314,0.177,0.110,0.110,0.088,0.059,0.142
36047018000,"Census Tract 180, Kings County, New York",992,0.196,0.239,0.072,0.154,0.120,0.082,0.138
36047018100,"Census Tract 181, Kings County, New York",1912,0.088,0.117,0.150,0.238,0.126,0.037,0.243
36047018200,"Census Tract 182, Kings County, New York",1148,0.288,0.166,0.183,0.156,0.102,0.013,0.092
36047018300,"Census Tract 183, Kings County, New York",1268,0.061,0.129,0.151,0.121,0.165,0.098,0.275
36047018400,"Census Tract 184, Kings County, New York",893,0.135,0.160,0.166,0.131,0.105,0.111,0.191
36047018501,"Census Tract 185.01, Kings County, New York",1772,0.520,0.223,0.121,0.066,0.000,0.036,0.034
36047018600,"Census Tract 186, Kings County, New York",690,0.164,0.249,0.165,0.078,0.100,0.094,0.149
36047018700,"Census Tract 187, Kings County, New York",634,0.267,0.145,0.109,0.057,0.118,0.054,0.251
36047018800,"Census Tract 188, Kings County, New York",945,0.153,0.207,0.204,0.120,0.116,0.081,0.117
36047019000,"Census Tract 190, Kings County, New York",1483,0.275,0.299,0.162,0.097,0.069,0.013,0.084
36047019100,"Census Tract 191, Kings County, New York",1045,0.183,0.123,0.108,0.167,0.070,0.056,0.292
36047019200,"Census Tract 192, Kings County, New York",865,0.221,0.385,0.095,0.120,0.042,0.061,0.076
36047019300,"Census Tract 193, Kings County, New York",2221,0.225,0.203,0.208,0.128,0.099,0.062,0.074
36047019400,"Census Tract 194, Kings County, New York",1148,0.328,0.188,0.164,0.137,0.081,0.015,0.088
36047019500,"Census Tract 195, Kings County, New York",1839,0.136,0.176,0.177,0.147,0.144,0.069,0.151
36047019600,"Census Tract 196, Kings County, New York",1462,0.329,0.280,0.163,0.107,0.070,0.015,0.036
36047019700,"Census Tract 197, Kings County, New York",1717,0.206,0.091,0.159,0.102,0.058,0.061,0.323
36047019800,"Census Tract 198, Kings County, New York",628,0.215,0.182,0.218,0.108,0.057,0.022,0.197
36047019900,"Census Tract 199, Kings County, New York",1578,0.137,0.120,0.148,0.144,0.116,0.079,0.256
36047020000,"Census Tract 200, Kings County, New York",764,0.234,0.188,0.178,0.139,0.081,0.046,0.134
36047020100,"Census Tract 201, Kings County, New York",1660,0.100,0.101,0.125,0.205,0.120,0.082,0.267
36047020200,"Census Tract 202, Kings County, New York",671,0.167,0.095,0.170,0.075,0.210,0.121,0.162
36047020300,"Census Tract 203, Kings County, New York",666,0.132,0.116,0.102,0.092,0.170,0.086,0.303
36047020400,"Census Tract 204, Kings County, New York",667,0.145,0.171,0.166,0.118,0.120,0.084,0.195
36047020500,"Census Tract 205, Kings County, New York",1359,0.120,0.146,0.155,0.139,0.108,0.139,0.193
36047020600,"Census Tract 206, Kings County, New York",828,0.130,0.158,0.186,0.141,0.139,0.087,0.158
36047020700,"Census Tract 207, Kings County, New York",2179,0.117,0.155,0.060,0.111,0.111,0.126,0.321
36047020800,"Census Tract 208, Kings County, New York",977,0.241,0.218,0.272,0.103,0.050,0.043,0.073
36047021000,"Census Tract 210, Kings County, New York",1391,0.349,0.221,0.160,0.056,0.093,0.035,0.086
36047021100,"Census Tract 211, Kings County, New York",735,0.215,0.200,0.264,0.110,0.063,0.016,0.132
36047021200,"Census Tract 212, Kings County, New York",1427,0.309,0.246,0.215,0.050,0.055,0.069,0.057
36047021300,"Census Tract 213, Kings County, New York",1949,0.321,0.226,0.145,0.088,0.084,0.055,0.082
36047021400,"Census Tract 214, Kings County, New York",534,0.281,0.182,0.225,0.075,0.124,0.036,0.079
36047021500,"Census Tract 215, Kings County, New York",2452,0.225,0.182,0.121,0.084,0.062,0.055,0.270
36047021600,"Census Tract 216, Kings County, New York",942,0.150,0.425,0.052,0.086,0.149,0.027,0.113
36047021700,"Census Tract 217, Kings County, New York",1675,0.264,0.158,0.189,0.088,0.126,0.051,0.124
36047021800,"Census Tract 218, Kings County, New York",935,0.430,0.179,0.158,0.044,0.065,0.037,0.087
36047021900,"Census Tract 219, Kings County, New York",1526,0.242,0.172,0.176,0.132,0.061,0.079,0.138
36047022000,"Census Tract 220, Kings County, New York",1295,0.412,0.287,0.126,0.122,0.027,0.008,0.018
36047022100,"Census Tract 221, Kings County, New York",1641,0.211,0.284,0.147,0.092,0.037,0.048,0.182
36047022200,"Census Tract 222, Kings County, New York",1122,0.392,0.288,0.168,0.077,0.012,0.006,0.057
36047022400,"Census Tract 224, Kings County, New York",1265,0.277,0.323,0.119,0.073,0.079,0.068,0.061
36047022600,"Census Tract 226, Kings County, New York",579,0.268,0.252,0.197,0.168,0.043,0.066,0.007
36047022700,"Census Tract 227, Kings County, New York",1493,0.149,0.225,0.106,0.192,0.128,0.040,0.159
36047022800,"Census Tract 228, Kings County, New York",860,0.342,0.316,0.114,0.077,0.030,0.020,0.101
36047022900,"Census Tract 229, Kings County, New York",1809,0.219,0.155,0.172,0.114,0.102,0.071,0.167
36047023000,"Census Tract 230, Kings County, New York",949,0.334,0.246,0.143,0.066,0.091,0.021,0.099
36047023100,"Census Tract 231, Kings County, New York",1501,0.185,0.169,0.160,0.127,0.078,0.070,0.212
36047023200,"Census Tract 232, Kings County, New York",1267,0.395,0.277,0.096,0.091,0.100,0.018,0.024
36047023300,"Census Tract 233, Kings County, New York",2058,0.340,0.235,0.138,0.070,0.053,0.027,0.138
36047023400,"Census Tract 234, Kings County, New York",1231,0.446,0.202,0.144,0.097,0.037,0.006,0.069
36047023500,"Census Tract 235, Kings County, New York",1349,0.273,0.208,0.138,0.116,0.083,0.076,0.107
36047023600,"Census Tract 236, Kings County, New York",1538,0.509,0.220,0.154,0.046,0.035,0.012,0.023
36047023800,"Census Tract 238, Kings County, New York",1244,0.455,0.239,0.055,0.078,0.070,0.027,0.076
36047024000,"Census Tract 240, Kings County, New York",1292,0.402,0.287,0.106,0.067,0.021,0.024,0.093
36047024100,"Census Tract 241, Kings County, New York",983,0.288,0.095,0.220,0.068,0.098,0.093,0.139
36047024200,"Census Tract 242, Kings County, New York",760,0.242,0.188,0.172,0.117,0.059,0.018,0.203
36047024300,"Census Tract 243, Kings County, New York",1611,0.299,0.160,0.136,0.099,0.094,0.047,0.164
36047024400,"Census Tract 244, Kings County, New York",968,0.298,0.179,0.138,0.146,0.050,0.026,0.164
36047024500,"Census Tract 245, Kings County, New York",1714,0.149,0.221,0.187,0.188,0.065,0.064,0.126
36047024600,"Census Tract 246, Kings County, New York",919,0.296,0.232,0.138,0.084,0.060,0.067,0.123
36047024700,"Census Tract 247, Kings County, New York",978,0.344,0.175,0.185,0.140,0.058,0.014,0.084
36047024800,"Census Tract 248, Kings County, New York",865,0.277,0.215,0.162,0.120,0.072,0.088,0.066
36047024900,"Census Tract 249, Kings County, New York",1848,0.177,0.199,0.204,0.136,0.088,0.032,0.163
36047025000,"Census Tract 250, Kings County, New York",503,0.231,0.219,0.241,0.089,0.026,0.107,0.087
36047025100,"Census Tract 251, Kings County, New York",1425,0.427,0.215,0.131,0.104,0.033,0.035,0.055
36047025200,"Census Tract 252, Kings County, New York",1917,0.263,0.258,0.134,0.164,0.089,0.041,0.051
36047025300,"Census Tract 253, Kings County, New York",1209,0.298,0.186,0.153,0.075,0.031,0.093,0.163
36047025400,"Census Tract 254, Kings County, New York",1209,0.345,0.186,0.113,0.128,0.045,0.060,0.122
36047025500,"Census Tract 255, Kings County, New York",1853,0.590,0.296,0.095,0.006,0.004,0.003,0.005
36047025600,"Census Tract 256, Kings County, New York",929,0.252,0.254,0.217,0.082,0.080,0.026,0.089
36047025700,"Census Tract 257, Kings County, New York",647,0.338,0.056,0.199,0.192,0.071,0.057,0.087
